,city,id,lat,temp,humidity,clouds,wind,lng,Country
0,Ardakān,143073,32.31,68.0,33,40,13.87,54.02,IR
1,Ushuaia,3833367,-54.8,55.4,47,20,6.93,-68.3,AR
2,Cañon City,5416005,38.44,39.11,80,90,6.98,-105.24,US
3,Aklavik,5882953,68.22,23.7,67,90,9.17,-135.01,CA
4,Punta Arenas,3874787,-53.15,59.0,58,75,20.8,-70.92,CL
5,Ilulissat,3423146,69.22,3.2,71,75,8.05,-51.1,GL
6,Asău,686090,46.43,43.72,48,90,12.75,26.4,RO
7,Bosaso,64013,11.28,76.95,85,55,13.18,49.18,SO
8,Longyearbyen,2729907,78.22,-2.2,53,40,11.41,15.64,SJ
9,Tulum,3515040,20.22,84.49,58,40,16.11,-87.47,MX
10,Znamenskoye,1485020,57.13,34.65,86,88,12.01,73.83,RU
11,Oudtshoorn,967106,-33.59,64.4,100,92,1.12,22.2,ZA
12,Hamilton,4513583,39.18,35.22,93,90,12.75,-84.53,US
13,Ixtapa,4004293,20.7,78.89,74,5,13.87,-105.2,MX
14,East London,1006984,-33.02,73.89,78,51,8.93,27.91,ZA
15,Fortuna,5563839,40.6,47.03,87,75,13.87,-124.16,US
16,New Norfolk,2155415,-42.78,49.96,81,75,5.82,147.06,AU
17,Chokurdakh,2126123,70.63,-27.99,97,0,2.8,147.92,RU
18,Itoman,1861280,26.12,57.33,54,75,23.04,127.67,JP
19,San Francisco,5391959,37.77,50.22,76,90,11.41,-122.42,US
20,Vao,2137773,-22.67,83.25,82,100,21.39,167.48,NC
21,Jiuquan,1279945,39.74,29.43,33,97,3.13,98.52,CN
22,Dunedin,2191562,-45.87,57.51,75,100,1.01,170.5,NZ
23,Upernavik,3418910,72.79,-10.35,97,100,3.56,-56.15,GL
24,Codrington,2171099,-38.27,58.95,71,1,15.66,141.97,AU
25,Rikitea,4030556,-23.12,77.67,80,0,13.69,-134.97,PF
26,Saint Paul Harbor,5866583,57.79,33.8,59,1,5.82,-152.41,US
27,Muhafazat Lahij,6201197,13.17,73.17,69,0,7.56,44.58,YE
28,Nālūt,2214432,30.33,63.45,21,0,9.44,10.85,LY
29,Aykhal,2027296,66.0,15.8,92,70,6.71,111.5,RU
30,Kupang,2057087,-10.17,81.09,82,5,4.29,123.58,ID
31,Ouadda,236901,8.08,80.91,23,100,4.41,22.4,CF
32,Blantyre,931755,-15.79,67.77,83,64,4.14,35.01,MW
33,Vardø,777019,70.37,18.63,67,40,21.18,31.11,NO
34,Port Lincoln,2063036,-34.73,60.21,76,99,15.39,135.87,AU
35,Tuktoyaktuk,6170031,69.45,21.2,85,90,29.97,-133.04,CA
36,Uni,478996,57.75,28.35,94,78,3.53,51.49,RU
37,Bredasdorp,1015776,-34.53,66.58,77,67,6.93,20.04,ZA
38,Hermanus,3366880,-34.42,64.44,92,53,13.4,19.23,ZA
39,Mar del Plata,3430863,-38.0,68.49,64,0,12.75,-57.56,AR
40,Butaritari,2110227,3.07,83.61,70,100,9.13,172.79,KI
41,Faanui,4034551,-16.48,83.07,77,2,15.75,-151.75,PF
42,Gravelbourg,5965462,49.88,19.35,68,100,16.08,-106.55,CA
43,Pilar,3392126,-9.6,82.4,74,75,11.41,-35.96,BR
44,Coyhaique,3894426,-45.58,59.0,51,75,3.36,-72.07,CL
45,Kapaa,5848280,22.08,73.8,60,1,9.17,-159.32,US
46,Castro,3466704,-24.79,73.17,59,0,2.06,-50.01,BR
47,Clyde River,5924351,70.47,-16.6,62,20,1.07,-68.59,CA
48,Opuwo,3354077,-18.06,71.91,67,88,4.63,13.84,NA
49,Torbay,6167817,47.67,36.39,80,20,28.86,-52.73,CA
50,Srīvardhan,1255619,18.03,72.27,47,71,4.16,73.02,IN
51,Dwārka,1272140,22.24,75.69,52,100,13.69,68.97,IN
52,Ribeira Grande,3372707,38.52,60.8,77,40,5.82,-28.7,PT
53,Portland,5746545,45.52,38.32,65,75,21.92,-122.68,US
54,Albany,5106841,42.6,41.09,45,75,20.8,-73.97,US
55,Bluff,2206939,-46.6,55.99,80,100,3.0,168.33,NZ
56,Saskylakh,2017155,71.92,1.35,95,95,10.71,114.08,RU
57,Sola,2134814,-13.88,85.41,76,54,22.17,167.55,VU
58,Saint-Philippe,935215,-21.36,74.48,83,67,12.75,55.77,RE
59,Tuttlingen,2820693,47.98,38.35,69,80,1.12,8.82,DE
60,Villamontes,3901547,-21.25,96.93,29,88,12.39,-63.5,BO
61,Lompoc,5367788,34.64,56.77,62,90,4.7,-120.46,US
62,Gavirate,3176261,45.84,45.14,93,88,4.7,8.72,IT
63,Busselton,2075265,-33.65,64.63,98,98,10.11,115.33,AU
64,Gulu,233346,2.77,74.07,73,84,0.31,32.3,UG
65,Strezhevoy,1490796,60.73,33.8,97,90,11.18,77.59,RU
66,Shellbrook,6145951,53.22,10.4,51,90,8.05,-106.4,CA
67,Tairua,2182010,-37.02,65.43,71,0,8.59,175.85,NZ
68,Atar,2381334,20.52,71.55,10,0,5.32,-13.05,MR
69,Sulphur,4342816,30.24,78.91,74,40,11.41,-93.38,US
70,Saint George,5546220,37.1,60.1,55,40,11.41,-113.58,US
71,Norman Wells,6089245,65.28,19.4,57,90,3.36,-126.83,CA
72,Inuvik,5983607,68.35,24.04,58,90,12.57,-133.72,CA
73,Mataura,6201424,-46.19,55.99,81,100,3.0,168.86,NZ
74,Tiksi,2015306,71.69,-16.11,80,0,8.46,128.87,RU
75,Alofi,4036284,-19.06,82.4,83,75,6.93,-169.92,NU
76,Nanortalik,3421765,60.14,20.97,72,100,9.06,-45.24,GL
77,Saint-François,2980080,46.42,39.49,80,0,2.8,3.91,FR
78,Samarai,2132606,-10.62,77.13,85,100,4.97,150.67,PG
79,Cape Town,3369157,-33.93,66.34,82,75,16.11,18.42,ZA
80,Acaraú,3408368,-2.89,77.49,92,98,4.09,-40.12,BR
81,Saint-Pierre,935214,-21.34,74.62,83,36,12.75,55.48,RE
82,Hilo,5855927,19.73,68.07,83,90,3.36,-155.09,US
83,Beatrice,5063646,40.27,34.57,90,90,16.11,-96.75,US
84,Lebu,3883457,-37.62,62.73,55,0,13.42,-73.65,CL
85,Havøysund,779622,71.0,19.4,79,90,33.33,24.66,NO
86,Port Alfred,964432,-33.59,68.0,87,92,4.0,26.89,ZA
87,Maceió,3395981,-9.67,82.4,74,75,11.41,-35.74,BR
88,Winnemucca,5710360,40.97,51.8,29,90,20.8,-117.74,US
89,São Sepé,3448207,-30.16,104.0,24,40,2.24,-53.57,BR
90,São José da Coroa Grande,3388456,-8.9,82.53,74,100,12.24,-35.15,BR
91,Beringovskiy,2126710,63.05,15.39,87,0,6.89,179.32,RU
92,Macamic,6062563,48.75,23.0,45,20,12.75,-79.0,CA
93,Naze,1855540,28.37,59.0,51,54,19.46,129.48,JP
94,Poum,2138555,-20.23,84.15,80,90,40.96,164.02,NC
95,Nome,5870133,64.5,32.0,99,90,5.82,-165.41,US
96,Wasco,5550368,35.59,64.72,48,90,8.05,-119.34,US
97,Lüderitz,3355672,-26.65,69.8,68,0,17.22,15.16,NA
98,Yellowknife,6185377,62.46,6.44,54,90,11.41,-114.35,CA
99,Homer,5864145,59.64,29.91,63,1,5.82,-151.55,US
100,Kruisfontein,986717,-34.0,62.19,93,42,7.58,24.73,ZA
101,Carnarvon,2074865,-24.87,77.0,83,75,9.17,113.63,AU
102,Kiryat Gat,293842,31.61,55.53,93,40,5.82,34.76,IL
103,Road Town,3577430,18.42,78.64,78,40,5.82,-64.62,VG
104,Sandwick,2638534,60.0,44.6,93,75,18.34,-1.25,GB
105,Barrow,5880054,71.29,10.4,85,40,26.4,-156.79,US
106,Tahe,2034615,52.33,-10.89,85,0,4.59,124.73,CN
107,Hithadhoo,1282256,-0.6,83.07,64,85,4.07,73.08,MV
108,Poronaysk,2121909,49.22,18.27,93,100,4.09,143.12,RU
109,Jamestown,5122534,42.1,34.05,64,1,3.36,-79.24,US
110,Salinas,5391295,36.68,54.91,51,20,14.99,-121.66,US
111,Ancud,3899695,-41.87,60.8,59,34,6.93,-73.82,CL
112,Cabo San Lucas,3985710,22.89,77.7,44,40,23.04,-109.91,MX
113,Yārāda,1252783,17.65,73.4,94,20,2.24,83.27,IN
114,Haftoni,148088,38.76,51.8,87,40,3.36,48.76,AZ
115,Los Llanos de Aridane,2514651,28.66,60.73,63,40,11.41,-17.92,ES
116,Harper,2276492,4.38,77.67,93,67,3.02,-7.72,LR
117,Saint Anthony,5044290,45.02,32.88,40,1,3.36,-93.22,US
118,Pevek,2122090,69.7,-10.89,76,54,9.19,170.31,RU
119,Balsas,3406545,-7.53,80.37,78,82,3.47,-46.04,BR
120,Ürümqi,1529102,43.8,35.6,64,26,4.47,87.6,CN
121,Šalčininkai,595016,54.3,25.23,79,0,9.17,25.38,LT
122,Mahébourg,934322,-20.41,76.23,88,40,3.36,57.7,MU
123,Airai,1651810,-8.93,63.99,83,18,2.91,125.41,TL
124,Lavrentiya,4031637,65.58,20.07,57,100,4.83,-171.0,RU
125,Tūkrah,88834,32.53,57.33,79,42,5.21,20.58,LY
126,Tautira,4033557,-17.73,87.8,62,40,2.24,-149.15,PF
127,Vaini,4032243,-21.2,84.2,83,75,19.46,-175.2,TO
128,Broome,5110365,42.25,39.99,55,1,12.75,-75.83,US
129,Togur,1489499,58.36,34.47,94,100,15.97,82.83,RU
130,Esperance,2071860,-33.87,64.4,93,40,13.87,121.9,AU
131,Tateyama,1850523,34.98,41.18,75,40,8.05,139.87,JP
132,Lanzhou,1804430,36.06,37.09,24,100,6.71,103.79,CN
133,Indian Head,4358916,38.6,55.51,22,90,10.29,-77.16,US
134,Bethel,5282297,41.37,50.61,36,1,11.41,-73.41,US
135,Svetlaya,2015852,46.54,25.47,69,79,12.95,138.33,RU
136,Arraial do Cabo,3471451,-22.97,80.6,83,40,11.41,-42.03,BR
137,Omboué,2396853,-1.57,77.85,93,100,1.41,9.26,GA
138,Alice Springs,2077895,-23.7,69.8,49,90,3.36,133.88,AU
139,Atuona,4020109,-9.8,81.45,78,12,12.86,-139.03,PF
140,Henties Bay,3356832,-22.12,63.0,92,0,6.2,14.28,NA
141,St. George's,3579925,12.06,82.4,78,75,5.82,-61.75,GD
142,Ahipara,2194098,-35.17,63.81,71,0,3.29,173.17,NZ
143,Zwedru,2272491,6.07,77.31,87,97,4.9,-8.13,LR
144,Doboz,721349,46.73,43.07,52,100,12.75,21.25,HU
145,Sibolga,1213855,1.74,71.55,95,41,3.31,98.78,ID
146,Egvekinot,4031742,66.32,2.43,76,0,3.96,-179.17,RU
147,Port Elizabeth,964420,-33.92,67.23,82,91,12.48,25.57,ZA
148,Bedelē,342567,8.46,71.37,65,100,0.51,36.35,ET
149,Klamath Falls,5735238,42.22,37.8,80,90,8.79,-121.78,US
150,Isangel,2136825,-19.55,82.4,83,90,4.7,169.27,VU
151,Yamada,2110560,39.47,31.95,77,31,5.06,141.95,JP
152,Puerto Ayora,3652764,-0.74,84.27,70,20,11.41,-90.35,EC
153,Mersing,1732826,2.43,82.4,83,99,8.05,103.84,MY
154,Bathsheba,3374083,13.22,77.0,83,75,20.8,-59.52,BB
155,Waingapu,1622318,-9.66,82.89,74,100,5.26,120.26,ID
156,Constitución,3893726,-35.33,65.79,50,67,12.33,-72.42,CL
157,Quepos,3622193,9.42,84.16,45,20,17.22,-84.17,CR
158,Beyneu,610298,45.32,52.47,78,100,7.78,55.2,KZ
159,Namasuba,228227,0.69,67.41,90,67,3.02,32.42,UG
160,Qaanaaq,3831208,77.48,-20.25,61,0,5.26,-69.36,GL
161,Cayenne,3382160,4.93,84.2,66,75,11.41,-52.33,GF
162,Rundu,3353383,-17.93,73.4,78,75,8.05,19.77,NA
163,Toamasina,1053384,-18.17,77.0,88,75,11.41,49.38,MG
164,Dikson,1507390,73.51,-15.75,99,57,11.54,80.55,RU
165,Puerto Baquerizo Moreno,3652758,-0.9,84.2,74,40,5.82,-89.6,EC
166,Pathalgaon,1260141,22.57,62.91,87,21,8.81,83.47,IN
167,Avarua,4035715,-21.21,84.2,74,37,6.93,-159.78,CK
168,Avila,3129138,40.58,44.6,62,0,0.67,-5.0,ES
169,Hobart,2163355,-42.88,50.25,81,75,5.82,147.33,AU
170,Porto Santo,8010683,33.07,59.27,63,75,12.75,-16.34,PT
171,George Town,1735106,5.41,81.46,83,20,2.24,100.34,MY
172,Sitka,5557293,57.05,38.71,55,1,4.38,-135.33,US
173,Hasaki,2112802,35.73,31.24,63,40,3.36,140.83,JP
174,Provideniya,4031574,64.38,19.89,81,100,5.12,-173.3,RU
175,Vila Velha,3445026,-20.33,81.1,74,40,9.17,-40.29,BR
176,Río Gallegos,3838859,-51.62,62.6,48,100,9.17,-69.22,AR
177,Pryazha,504409,61.69,23.0,73,100,17.9,33.62,RU
178,Zeya,2012593,53.75,-9.81,84,0,3.87,127.27,RU
179,Shingū,1847947,33.73,44.37,72,0,12.62,135.98,JP
180,Deloraine,2169113,-41.53,49.06,87,68,2.24,146.67,AU
181,Virú,3690875,-8.42,77.0,78,20,8.05,-78.75,PE
182,Sørland,3137469,67.67,35.01,96,100,23.78,12.69,NO
183,Taketa,1850878,32.97,35.6,80,20,3.36,131.38,JP
184,Aksu,1529660,41.12,40.77,27,7,5.55,80.26,CN
185,Dingle,1714733,11.0,71.19,89,14,6.15,122.67,PH
186,Da Lat,1584071,11.95,56.25,82,92,3.49,108.44,VN
187,Flin Flon,5954718,54.77,8.6,50,90,4.7,-101.86,CA
188,Ballinasloe,2966753,53.33,41.67,88,96,13.31,-8.22,IE
189,Novaya Igirma,2019004,57.13,30.69,97,100,7.49,103.91,RU
190,Linjiang,2036069,41.81,15.57,90,92,5.66,126.91,CN
191,Kahului,5847411,20.89,76.33,69,40,13.87,-156.47,US
192,Berbera,64435,10.44,78.21,83,42,8.93,45.01,SO
193,San Patricio,3985168,19.22,86.0,74,20,5.82,-104.7,MX
194,Mauá,3457381,-23.67,77.31,78,20,9.17,-46.46,BR
195,Cidreira,3466165,-30.18,76.95,83,0,16.89,-50.21,BR
196,Bloemfontein,1018725,-29.12,60.8,87,0,2.24,26.21,ZA
197,Labuhan,8079926,-6.88,75.69,92,89,2.42,112.21,ID
198,Kavieng,2094342,-2.57,84.15,72,100,9.84,150.8,PG
199,La Santisima Trinidad,3902377,-14.83,91.4,63,75,3.36,-64.9,BO
200,Palauig,1696188,15.44,72.45,80,56,4.99,119.9,PH
201,Bud,4255151,39.45,34.54,80,90,9.17,-86.18,US
202,Klaksvík,2618795,62.23,35.6,74,100,9.17,-6.59,FO
203,Kenora,5991056,49.82,21.22,57,100,5.82,-94.43,CA
204,Bubaque,2374583,11.28,84.15,62,0,21.3,-15.83,GW
205,Boden,606531,65.83,26.6,58,100,11.41,21.69,SE
206,Zhangaözen,607610,43.3,55.53,50,100,12.24,52.8,KZ
207,Ekibastuz,1524325,51.67,33.75,82,100,15.46,75.37,KZ
208,Conceição do Araguaia,3401845,-8.26,84.2,70,100,1.72,-49.26,BR
209,Pisco,3932145,-13.7,73.83,30,100,19.46,-76.22,PE
210,Te Anau,2181625,-45.42,51.03,69,100,2.48,167.72,NZ
211,Taoudenni,2450173,22.68,74.25,10,0,3.98,-3.98,ML
212,Kédougou,2250645,12.56,86.67,9,18,2.42,-12.17,SN
213,Verāval,1253237,20.9,67.23,26,98,10.54,70.37,IN
214,Axum,344420,14.12,61.11,58,100,3.83,38.72,ET
215,Atbasar,1526038,51.8,33.93,98,100,12.15,68.33,KZ
216,Horsham,2646557,51.06,48.67,93,75,13.87,-0.33,GB
217,Ostrovnoy,556268,68.05,10.89,94,100,13.11,39.51,RU
218,Kaitangata,2208248,-46.28,57.99,75,100,1.01,169.85,NZ
219,Souillac,933995,-20.52,76.24,88,40,3.36,57.52,MU
220,Hambantota,1244926,6.12,78.93,78,20,16.26,81.12,LK
221,Leningradskiy,2123814,69.38,-6.21,72,29,6.96,178.42,RU
222,Dryden,5942913,49.78,21.2,34,20,9.17,-92.75,CA
223,Paita,3694112,-5.09,62.6,100,100,11.41,-81.11,PE
224,Korla,1529376,41.76,37.0,63,100,1.99,86.15,CN
225,Luena,3347719,-11.78,62.73,96,83,1.21,19.92,AO
226,Hyères,6451497,43.12,51.06,66,2,4.7,6.12,FR
227,Biloela,2175819,-24.42,63.99,81,0,14.9,150.5,AU
228,Vágur,2610806,61.47,40.59,70,100,23.0,-6.81,FO
229,Bambous Virieux,1106677,-20.34,76.21,88,40,3.36,57.76,MU
230,Narsaq,3421719,60.92,21.2,67,75,3.36,-46.05,GL
231,Siedlce,759412,52.17,25.0,65,0,10.78,22.29,PL
232,Katsuura,2112309,35.13,41.79,70,20,8.05,140.3,JP
233,Nanzhang,1799574,31.78,52.11,42,0,2.42,111.84,CN
234,Khatanga,2022572,71.97,25.29,88,100,12.8,102.5,RU
235,San Quintín,3984997,30.48,62.91,67,43,12.06,-115.95,MX
236,Benghazi,88319,32.12,62.55,73,33,2.21,20.07,LY
237,Luziânia,3458329,-16.25,79.45,51,40,9.17,-47.95,BR
238,Hondomachi-hondo,1862230,32.45,46.24,61,75,11.41,130.2,JP
239,Ambilobe,1082243,-13.2,81.45,85,100,14.74,49.05,MG
240,Ifanadiana,1064366,-21.3,67.77,99,99,2.19,47.63,MG
241,Bilibino,2126682,68.05,-11.61,80,100,4.76,166.44,RU
242,Acapulco de Juárez,3533462,16.86,87.8,62,20,6.93,-99.89,MX
243,Valera,3625542,9.32,83.43,57,11,4.94,-70.6,VE
244,Chu,1519030,43.6,46.0,40,55,10.0,73.76,KZ
245,Kandrian,2094746,-6.22,78.21,85,100,9.62,149.55,PG
246,Pacific Grove,5380437,36.62,54.95,51,20,14.99,-121.92,US
247,Saldanha,3361934,-33.01,64.4,82,0,12.75,17.94,ZA
248,Sarkand,1519691,45.41,38.07,47,0,7.18,79.92,KZ
249,Geraldton,2070998,-28.77,72.39,88,40,11.41,114.6,AU
250,Ketchikan,5554428,55.34,38.32,38,1,13.87,-131.65,US
251,Ust-Nera,2120048,64.57,-28.71,96,0,1.16,143.2,RU
252,Cabo Rojo,4562996,18.09,81.05,69,75,13.87,-67.15,PR
253,Thompson,6165406,55.74,6.8,46,20,2.24,-97.86,CA
254,Tubualá,3700393,9.52,91.24,41,20,16.11,-79.03,PA
255,Iskateley,866062,67.68,1.17,86,19,3.74,53.15,RU
256,Lorengau,2092164,-2.02,83.79,78,100,12.21,147.27,PG
257,Ol'ga,2018553,43.74,30.33,78,99,14.79,135.29,RU
258,Mossamedes,3347019,-15.2,76.23,75,100,4.09,12.15,AO
259,Bengkulu,1649150,-3.8,74.61,91,95,3.27,102.27,ID
260,Port Macquarie,2152659,-31.43,61.36,100,90,12.75,152.92,AU
261,Ngunguru,2186111,-35.62,65.59,75,0,5.01,174.5,NZ
262,Čejkovice,3078181,48.91,34.77,43,49,6.93,16.94,CZ
263,Kuusamo,649924,65.97,-7.6,83,15,1.12,29.18,FI
264,Eyrarbakki,3413604,63.86,18.81,58,20,10.29,-21.15,IS
265,Disna,629055,55.57,24.03,69,0,9.82,28.2,BY
266,San Lazaro,3581514,18.04,84.2,70,20,8.05,-88.66,BZ
267,Sakakah,102527,29.97,60.8,67,75,20.8,40.21,SA
268,Douglas,5067114,41.3,34.75,74,90,6.93,-96.17,US
269,Carndonagh,2965761,55.25,39.51,92,36,8.68,-7.27,IE
270,Morant Bay,3489440,17.88,85.06,62,20,10.29,-76.41,JM
271,Câmara de Lobos,2270380,32.63,57.58,76,75,11.41,-16.97,PT
272,Puerto del Rosario,2512186,28.5,64.4,68,20,13.87,-13.86,ES
273,Kumul,1529484,42.8,35.91,31,60,4.12,93.45,CN
274,Grafton,4938048,42.21,49.71,39,1,14.99,-71.69,US
275,Orbetello,3171985,42.44,49.03,87,40,1.12,11.22,IT
276,Sanguéya,2416061,10.7,78.21,74,28,5.88,-14.37,GN
277,Krasnaya Gora,542788,53.0,30.2,68,75,13.42,31.6,RU
278,Bose,6457397,45.46,46.13,81,75,3.36,8.01,IT
279,Ures,3980782,29.43,73.29,43,0,1.99,-110.4,MX
280,Angoche,1052944,-16.23,73.71,95,46,4.47,39.91,MZ
281,Kulhudhuffushi,1337613,6.62,83.43,75,4,6.98,73.07,MV
